OBJECTID	LandslideCount2018	LandslideCount2020	Landslide2018	Landslide2020	TARGET_FID	Area_SU	CoordX	CoordY	ExpandedSL2020	ExpandedSL2018	ElevationR	ElevationM	ElevationSTD	SlopeR	SlopeM	SlopeSTD	SoildepthR	SoildepthM	SoilDepthSTD	AspectR	AspectM	AspectSTD	PlanCurvR	PlanCurvM	PlanCurvSTD	ProfCurvR	ProfCurvM	ProfCurvSTD	RelRelfR	RelRelfM	RelRelfSTD	TWIR	TWIM	TWISTD	SoilType	DistRR	DistRM	DistSTD	Rain201317MAX	Rain201317R	Rain201317M	Rain201317STD	Rain201321MAX	Rain201321R	Rain201321M	Rain201321STD	SPIR	SPIM	SPISTD	LULC20172021	LULC20172018	NDVI20172021	NDVI20172018
1	0	0	0	0	0	2569.429932	92.153801	21.2203999			18.95479059	8.490819885	4.540870531	30.52927	10.59853511	5.665044971	2.198755503	3.241744708	0.52674099	359.9984131	93.11407847	131.4646748	0.858142018	0.002659673	0.051813901	1.256646514	-0.002002759	0.077557547	1.922909737	13.49965621	0.405264146	13.91524833	3.86044315	1.517463311	3	89.16086578	80.03519784	19.13942211	609.6376953	40.17327881	586.6308952	10.65062346	625.6977539	40.17333984	602.6908931	10.65062348	19.60017109	-0.522605921	3.427726643	10	10	8	4
2	0	0	0	0	1	2299.77002	92.1536026	21.2201004			18.74159479	14.40665541	5.776854474	32.95203353	11.45481538	5.693093732	2.17402482	2.555507787	0.670115115	359.9840175	189.9472886	148.8946022	0.892345637	-0.000704198	0.065745923	0.992590338	0.00028705	0.07473144	1.788338661	14.49866459	0.301232838	13.05641797	3.63615842	1.589259496	3	61.98980713	41.59460073	14.30810181	610.9247437	33.04309082	598.4660987	9.832596159	626.9847412	33.04309082	614.526096	9.832595927	19.82707453	-0.595511532	3.462455135	10	10	4	4
3	0	0	0	0	2	3000.01001	92.1539001	21.2199001			19.22287035	16.31899787	5.420821456	36.94638521	11.26906996	5.512851248	2.229852915	2.333676061	0.628815279	359.8418647	60.80031281	61.13980215	1.087958872	-0.000860804	0.060969722	1.224683404	0.002176867	0.072209003	1.890724182	13.65525393	0.391248567	12.72196321	3.62372033	1.441991533	3	106.6068754	60.34196469	25.34955439	611.1774902	34.14831543	601.6581088	8.463803601	627.2374878	34.14831543	617.7181067	8.463803782	19.71228981	-0.389288993	3.13931255	10	10	4	4
4	0	0	0	0	3	1870.51001	92.1541977	21.2199001			19.13421106	13.74623359	4.894628756	34.36593518	11.10860417	5.582608998	2.219568491	2.632116715	0.567776934	359.9914063	227.0692715	145.3726713	1.04750523	-0.003202835	0.053870034	1.221464217	0.002433784	0.068763682	2.166965485	13.38746621	0.520469383	13.23706934	3.797718406	1.408928851	3	103.7084446	82.30741799	22.92902952	610.9701538	34.60479736	597.8391864	9.039110121	627.0301514	34.60479736	613.8991841	9.039110022	19.93379641	-0.261542672	3.065192895	10	10	8	7
5	0	0	0	0	4	3682.050049	92.1535034	21.2189999			15.57308865	18.11625425	4.125871626	36.65788734	10.31997461	6.140593385	1.806478262	2.125194323	0.478601095	359.246495	189.3711233	51.23029653	1.357191563	-0.002846516	0.064154288	1.633172154	0.001830813	0.080171314	2.686347008	14.71357673	0.500521086	12.06048971	3.683523741	1.365160717	3	71.38540649	35.04939436	21.71466385	611.0775146	22.28100586	604.6719841	5.551026177	627.1375122	22.28100586	620.7319815	5.551026255	19.55478859	-0.627233502	3.145460555	10	10	8	7
6	0	0	0	0	5	64924.19922	92.1529007	21.2208004			21.05865335	12.56440679	5.446157775	40.74589756	13.51307156	6.563441309	2.44280386	2.769208625	0.631754303	359.9950601	172.2355094	103.9124849	1.721481621	0.00230831	0.073028135	2.16522336	0.000216268	0.08727514	9.813131332	15.39046026	1.589076381	16.30714029	3.586817077	1.524207186	3	166.5683441	53.88229639	38.75118332	611.1572266	44.6786499	595.2915842	10.50440613	627.2172241	44.6786499	611.3515818	10.50440614	21.18904638	-0.125885097	3.266669102	10	10	8	7
7	0	0	0	0	6	2430.659912	92.1544037	21.2189999			15.49483395	19.48830011	3.905908778	34.78494017	10.46548686	6.628525379	1.797400713	1.966037008	0.453085405	359.9457612	108.3763999	48.15895734	1.199192524	-0.0014368	0.096927525	1.279442132	0.001963523	0.109849883	1.371151924	14.99854342	0.3287271	12.04189664	3.298001841	1.522095363	3	77.4362793	26.88750825	19.93311238	610.852417	22.50836182	606.3238776	5.098287232	626.9124146	22.50836182	622.3838751	5.098287224	20.39319324	-1.498428675	3.703547981	10	8	4	4
8	0	0	0	0	7	4515.950195	92.151001	21.2189007			16.54806185	15.31656653	4.500781176	36.2564694	12.59931515	6.264257936	1.919575214	2.44995809	0.522090603	359.9907264	102.0539249	112.7795727	1.300429612	-0.001459658	0.067793065	1.864221394	0.001277314	0.083504312	1.773948669	17.13168364	0.359995238	14.30806307	3.528473478	1.449854115	2	54.22071075	24.1809708	14.13788338	611.2419434	24.55487061	600.8559928	6.416450843	627.3019409	24.55487061	616.9159904	6.416450802	19.71144199	-0.477681863	3.455131606	10	9	7	7
9	0	0	0	0	8	2393.469971	92.1545029	21.2187996			14.69625187	18.07703074	3.813672538	38.53912856	11.67597703	6.084625175	1.70476532	2.12974425	0.442386003	359.9298974	92.68039671	99.60707756	1.003077924	-0.005283934	0.081803952	1.117925406	0.00432985	0.097302442	2.444327354	15.67228677	0.460602597	14.55752344	3.457053145	1.546722404	3	78.84089661	27.49006701	17.23507563	610.1151733	21.80822754	604.7058904	5.237721844	626.1751709	21.80822754	620.765888	5.237722081	20.47305489	-0.903129726	3.732005142	10	8	4	4
10	0	0	0	0	9	4590.850098	92.1537018	21.2187996			15.39264202	17.96500634	4.294158346	35.16010027	9.067161571	5.088261081	1.785546303	2.142739079	0.498122354	359.89355	253.413015	52.04001158	1.065024585	-0.002723608	0.062709947	1.300950289	0.003364197	0.069931025	3.177541733	14.92568389	0.727124282	12.20794788	3.974907699	1.414946443	3	71.79965973	38.49446183	22.31792637	610.9169312	22.1229248	604.4297356	5.814308198	626.9769287	22.1229248	620.489733	5.81430826	19.13896704	-0.533681245	3.163298032	10	10	8	7
