Landslide,SlopeR,SlopeM,SlopeSTD,SoildepthR,SoildepthM,SoilDepthSTD,AspectM,AspectSTD,PlanCurvR,PlanCurvM,ProfCurvR,ProfCurvM,RelRelfR,RelRelfM,TWIR,TWIM,TWISTD,SoilType,DistRR,DistRM,Rain201321MAX,Rain201321R,SPIR,SPIM,SPISTD,LULC20172021,NDVI20172021
NO,30.52927,10.59853511,5.665044971,2.198755503,3.241744708,0.52674099,93.11407847,131.4646748,0.858142018,0.002659673,1.256646514,-0.002002759,1.922909737,13.49965621,13.91524833,3.86044315,1.517463311,3,89.16086578,80.03519784,625.6977539,40.17333984,19.60017109,-0.522605921,3.427726643,10,8
NO,32.95203353,11.45481538,5.693093732,2.17402482,2.555507787,0.670115115,189.9472886,148.8946022,0.892345637,-0.000704198,0.992590338,0.00028705,1.788338661,14.49866459,13.05641797,3.63615842,1.589259496,3,61.98980713,41.59460073,626.9847412,33.04309082,19.82707453,-0.595511532,3.462455135,10,4
NO,36.94638521,11.26906996,5.512851248,2.229852915,2.333676061,0.628815279,60.80031281,61.13980215,1.087958872,-0.000860804,1.224683404,0.002176867,1.890724182,13.65525393,12.72196321,3.62372033,1.441991533,3,106.6068754,60.34196469,627.2374878,34.14831543,19.71228981,-0.389288993,3.13931255,10,4
NO,34.36593518,11.10860417,5.582608998,2.219568491,2.632116715,0.567776934,227.0692715,145.3726713,1.04750523,-0.003202835,1.221464217,0.002433784,2.166965485,13.38746621,13.23706934,3.797718406,1.408928851,3,103.7084446,82.30741799,627.0301514,34.60479736,19.93379641,-0.261542672,3.065192895,10,8
NO,36.65788734,10.31997461,6.140593385,1.806478262,2.125194323,0.478601095,189.3711233,51.23029653,1.357191563,-0.002846516,1.633172154,0.001830813,2.686347008,14.71357673,12.06048971,3.683523741,1.365160717,3,71.38540649,35.04939436,627.1375122,22.28100586,19.55478859,-0.627233502,3.145460555,10,8
NO,40.74589756,13.51307156,6.563441309,2.44280386,2.769208625,0.631754303,172.2355094,103.9124849,1.721481621,0.00230831,2.16522336,0.000216268,9.813131332,15.39046026,16.30714029,3.586817077,1.524207186,3,166.5683441,53.88229639,627.2172241,44.6786499,21.18904638,-0.125885097,3.266669102,10,8
NO,34.78494017,10.46548686,6.628525379,1.797400713,1.966037008,0.453085405,108.3763999,48.15895734,1.199192524,-0.0014368,1.279442132,0.001963523,1.371151924,14.99854342,12.04189664,3.298001841,1.522095363,3,77.4362793,26.88750825,626.9124146,22.50836182,20.39319324,-1.498428675,3.703547981,10,4
NO,36.2564694,12.59931515,6.264257936,1.919575214,2.44995809,0.522090603,102.0539249,112.7795727,1.300429612,-0.001459658,1.864221394,0.001277314,1.773948669,17.13168364,14.30806307,3.528473478,1.449854115,2,54.22071075,24.1809708,627.3019409,24.55487061,19.71144199,-0.477681863,3.455131606,10,7
NO,38.53912856,11.67597703,6.084625175,1.70476532,2.12974425,0.442386003,92.68039671,99.60707756,1.003077924,-0.005283934,1.117925406,0.00432985,2.444327354,15.67228677,14.55752344,3.457053145,1.546722404,3,78.84089661,27.49006701,626.1751709,21.80822754,20.47305489,-0.903129726,3.732005142,10,4
NO,35.16010027,9.067161571,5.088261081,1.785546303,2.142739079,0.498122354,253.413015,52.04001158,1.065024585,-0.002723608,1.300950289,0.003364197,3.177541733,14.92568389,12.20794788,3.974907699,1.414946443,3,71.79965973,38.49446183,626.9769287,22.1229248,19.13896704,-0.533681245,3.163298032,10,8
NO,45.98360753,14.03560699,7.156006676,2.51175189,2.69402564,0.681485515,184.2014224,114.5161267,6.058656454,0.002437441,6.339562893,-0.000590992,10.59819889,16.76732048,14.92470449,3.393656025,1.586831478,2,112.3969879,37.1096048,627.934021,43.72589111,20.92879009,-0.385778025,3.451947888,10,8
NO,32.77402261,12.1954713,5.84150252,2.209361553,2.625923286,0.593991928,228.2648856,43.07991016,1.107539177,0.00146485,1.102505654,-0.002330586,6.27617836,14.38599245,14.31445505,3.301408138,1.51993195,2,27.88151741,12.38982401,626.9904785,34.36669922,20.81077766,-0.653699571,3.348039576,10,7
NO,38.68566653,12.30440667,6.454283347,1.895779133,2.299946077,0.427454259,276.9229296,62.10643947,0.70396769,-0.000729804,1.191583067,-1.58976E-05,1.884361267,17.70333412,14.76911014,3.706726398,1.578155764,2,68.47454834,40.8194964,627.923584,22.71716309,21.10741234,-0.038250132,2.912431305,8,7
NO,31.97216584,10.76997382,6.784557359,2.191188812,2.630489463,0.629758635,255.6608317,95.67539542,1.35581857,-0.00070707,1.387180686,0.00043141,6.864413261,14.07688121,13.9980455,3.573750704,1.931150464,2,30.81000137,9.361748677,626.8574829,34.20031738,20.38995028,-1.317300224,3.625697175,10,7
NO,45.73587251,12.64409196,7.016424127,2.159196854,2.009937904,0.591656355,116.3761823,128.3052471,1.158258736,-0.003256497,2.71461612,0.002853777,4.118668556,17.3756897,12.66025904,3.538788621,1.54270898,2,60.68866348,22.20306575,629.7682495,24.56378174,21.76818943,-0.516772407,3.538186916,8,7
NO,35.1459481,8.797164759,5.380380533,1.60481143,2.342671115,0.495580436,176.1099489,45.03135868,0.808130682,-0.002111634,1.072113633,0.002547951,4.663156509,14.41642236,13.78106412,4.073625661,1.533331051,3,30.16517639,10.28724674,625.4779053,20.80352783,20.04363012,-0.486709348,3.014808731,10,8
NO,31.91077438,11.27326924,6.103684348,1.725298166,3.151322615,0.361723225,207.7928134,64.13920383,1.404865861,0.005410098,1.575787187,-0.001909271,9.87728405,13.37163212,15.33187301,3.580178705,1.570930117,2,78.00865173,37.63889867,622.6264038,31.24633789,19.38648176,-0.614453275,3.308906651,10,8
NO,39.28496362,12.16332503,9.045146395,1.972019911,2.415403533,0.701000694,150.854312,45.85361105,1.569401979,-0.000811426,1.148902506,0.00082676,3.464411736,16.87987131,15.74946684,3.55393782,1.626959305,2,79.29412079,28.00898548,626.7807617,27.19049072,20.43534136,-1.08093668,3.798867125,8,7
NO,35.80827513,9.798548295,5.468730783,1.660212517,2.351062143,0.496812847,221.6491193,60.84453218,1.212957859,-0.002162412,1.309652686,0.002294149,3.360991478,13.83964635,12.12863325,3.720365004,1.322769005,3,36.53491592,12.24055176,625.9282227,21.25543213,19.70072746,-0.80079566,3.308752898,10,8
NO,35.14475667,8.849204001,7.25520692,1.211627245,2.176887397,0.280184809,151.6005744,43.56483113,1.221263945,0.000143465,1.530546188,3.82384E-05,1.90991497,12.86926211,12.60724598,3.940057997,1.419852998,3,37.02058411,13.80898625,624.8977051,14.05535889,19.47866583,-0.71789335,2.844279031,10,8
NO,29.62827386,7.793315559,5.073206815,1.230666637,2.142356705,0.31334437,252.3140271,87.64269672,1.428886652,-0.000621397,1.295361757,0.000626103,2.30879879,11.71085671,14.71865182,4.238401271,1.517477484,3,67.18270874,32.56177002,625.8718872,13.45709229,19.43806791,-0.690072574,3.073292581,10,8
NO,38.64128793,11.0823805,6.862063799,1.501416922,3.165149327,0.357667904,274.6446445,77.89877812,1.783514619,0.0061533,1.610711575,-0.005154001,3.606613159,15.41703174,16.97261369,3.731425341,1.649838038,2,63.83521652,77.81963586,621.6643066,25.65655518,19.28290844,-0.523722878,3.412158475,10,8
NO,47.90359036,12.70874032,7.855485998,2.54439044,1.943314525,0.686034694,258.7734821,82.19635589,4.231682539,-0.000739624,4.322941065,0.000978614,8.249215126,17.05498244,15.76041007,3.693198251,1.633610014,2,84.79170227,30.63036658,630.6876831,31.5824585,21.25528622,-0.429340433,3.54000176,8,7
NO,31.63117317,7.792455722,5.395676738,1.966642141,2.653433804,0.669006206,251.9904232,47.95718284,0.795434803,-0.00148261,0.782975584,-0.000380324,3.077383041,17.11803459,13.94783142,3.918862715,1.469359061,2,77.36516571,44.10557514,626.3470459,28.22180176,18.61824608,-1.352018841,3.832566371,10,8
NO,31.66227227,14.33787872,5.51190491,1.809227943,1.907821831,0.501766366,185.9230924,21.1345725,0.523980841,-0.003145591,0.795233786,0.001622381,3.850515366,18.7309242,11.54715393,3.715984655,1.344328863,2,32.31010056,69.29367534,629.3143921,18.74414063,19.15697002,0.639507284,2.561908641,8,7
NO,40.18216437,14.93307987,7.357015163,2.328298092,2.402512874,0.590362708,109.4812884,85.55420833,1.350678384,0.002603075,1.715706468,-0.000722321,7.730195045,17.16402453,15.15832773,3.294837725,1.549810549,3,107.392128,34.6592526,628.921875,31.24304199,20.90383434,-0.401331807,3.500825499,8,7
NO,33.72055357,13.49689744,5.645126635,2.053410053,1.749718018,0.542751698,109.7125719,47.26423591,1.276403427,-0.003829049,1.438909411,0.002977905,3.682001114,18.8753031,17.09512882,3.629479744,1.523981335,2,68.01974773,40.35942,630.6829224,20.75524902,20.72133064,-0.096762,3.543805002,8,7
NO,36.32255209,13.91312766,7.398461248,1.999859571,2.382453495,0.584553568,282.1606644,74.14386623,1.097783387,-0.001627955,1.539779007,0.001231747,3.166749954,17.31197891,15.49538925,3.795745415,1.577720423,2,76.41256714,27.18578016,626.6069336,28.48431396,20.47903919,0.135155575,3.225381002,10,8
NO,31.9343309,13.83283401,5.721687141,1.585562468,2.405287291,0.417862816,175.3500117,136.829211,1.536734939,0.00517998,1.568701088,-0.001557389,1.08420372,13.56881152,13.52294813,3.459756151,1.338268499,3,56.7082901,107.2758156,626.4834595,18.83050537,18.27519226,-9.47719E-05,2.849993154,10,5
NO,25.56609625,12.76321665,5.387713401,1.341259956,2.40688137,0.395155836,103.4569899,64.63771874,0.711391836,0.000406303,0.803996891,-0.00270218,0.775122643,13.08362034,13.41281845,3.776302682,1.473822218,3,37.61440277,111.7084025,626.4812012,14.59429932,17.72980595,0.188559549,2.792786676,10,4
NO,40.43736653,13.09223668,6.66010168,1.797962904,1.832106234,0.526619771,112.1104116,53.01615594,3.775935173,-0.002643848,4.793877602,0.001332102,2.364742279,19.30105805,10.32193214,3.170559658,1.302294543,2,71.61793518,23.86120444,629.3798218,18.46392822,20.0315156,-0.768072801,3.502485708,8,7
NO,44.76352033,20.31177428,7.424645209,2.83039093,1.848998175,0.778719763,215.1232912,156.9133496,1.453277528,0.005861915,1.503303468,-0.002410335,5.970846176,21.34274379,11.83337504,3.366334062,1.473629528,2,77.73600197,78.44393907,634.5115967,26.81774902,19.57862663,0.797670991,2.94588764,10,8
NO,35.4922277,12.52523395,6.875513995,1.290949345,2.473307094,0.377632593,117.2665211,62.61579703,1.311944783,-0.001346358,1.151449025,0.001009366,2.734556198,13.78074313,14.2707215,3.304630969,1.471273696,3,81.16342163,40.85546139,623.6810913,16.81018066,19.97781038,-0.83355838,3.505138914,10,4
NO,40.61075741,11.70413322,5.752023343,1.650161743,2.273803621,0.401029776,280.0181553,104.8244918,1.175043344,-0.003488408,1.836943388,0.001418049,1.353014946,13.86159704,14.56584141,3.928893974,1.457582686,3,79.06353951,69.21551531,626.682373,19.79516602,20.39379978,0.220295364,2.754957538,10,8
NO,28.33063769,7.544991139,4.483725261,1.515030622,1.998804424,0.390357524,234.0963836,69.8464167,1.229909658,-0.002971324,1.338571966,0.002874395,4.426366806,12.66199575,13.53057497,3.752252602,1.506040954,3,99.59190369,25.22803732,628.5884399,15.05700684,19.59149885,-1.592261507,3.759607302,10,4
NO,44.8526783,13.82366504,8.925557019,2.710404396,1.630600069,0.493109514,182.5207529,135.2774778,3.693564296,-0.000616171,4.437913895,0.001493508,2.519393921,19.07220425,15.85958707,3.600426421,1.529623332,2,86.54793429,39.83308851,634.5020752,24.65466309,20.94396257,-0.211291005,3.204739893,10,8
NO,28.18208854,9.203366726,4.131618648,1.397387505,1.986200904,0.381513583,285.5896982,85.48201636,1.085671425,-0.001161674,1.155966997,0.000587902,1.921087265,12.87917289,14.13927957,4.215699459,1.462904897,3,88.90495539,54.68195974,628.0678711,13.89031982,19.23705149,-0.087940719,3.064618495,10,8
NO,48.01763294,16.29178426,7.659583708,2.878180504,1.695842168,0.84038295,101.6032826,97.91531892,1.626797557,0.001710286,1.831105232,-0.001576667,8.681995392,18.84142829,15.62399328,3.631385173,1.463159701,2,81.43361282,58.38158662,634.6333008,27.42437744,19.73783588,0.445555408,3.026422249,10,8
NO,41.21674606,14.33802598,8.181945561,2.596679211,2.213512887,0.696555417,152.6383587,51.70898717,3.491987109,-0.001056079,4.174599648,0.000988639,3.259336472,18.09241213,15.50266719,3.283132993,1.601370011,2,89.03128052,29.59981467,630.4710083,34.00500488,21.65449429,-0.647855406,3.593416117,10,7
NO,47.41785651,15.76910361,6.007043819,1.70289588,2.434779001,0.421558986,65.22860224,56.65071601,1.017625988,0.006870876,1.015131116,-0.000763219,1.788934708,14.91594655,11.94976741,3.548734617,1.298137721,3,57.79504013,64.37000557,627.0518799,20.25952148,16.90675497,0.64751569,2.334762824,8,7
NO,48.51007798,12.6451785,7.206076896,2.884558916,2.031105265,0.657355324,196.4099329,109.2398164,1.316655755,-0.000965114,2.195158541,0.000534637,10.68918514,17.39963939,13.33315963,3.758645737,1.475974156,2,56.25443649,18.85107249,634.6679688,27.45611572,20.27292299,-0.150944173,3.239228399,10,8
NO,42.60302925,11.31509246,6.275939692,2.36016655,2.558995683,0.539739173,153.0902197,116.1163816,1.656486154,0.001507506,1.793611586,0.000644991,10.87960625,13.5184893,16.13313341,3.710599954,1.500014265,3,102.6874847,34.98885586,628.6143799,33.41253662,21.09776878,-0.445352329,3.330873727,10,8
NO,34.18207179,10.03840611,3.83736662,1.524401665,1.998704349,0.324958885,111.0269997,55.96004983,1.582001686,-0.002204743,1.529404461,0.000994167,2.784766197,11.94398299,12.06596956,4.047536391,1.338750096,3,125.8851547,66.59115999,628.4351196,15.35766602,19.89809227,0.104003137,2.818462792,10,8
NO,46.51089755,9.056349934,5.458164438,2.635308743,1.23220217,0.494660905,207.1996573,60.41677669,3.310210347,-0.000770025,3.393202662,0.001362553,1.995710373,18.17694044,13.18424833,3.612760407,1.500862375,2,88.48578644,42.09640959,634.6129761,23.16766357,19.77917814,-1.304175923,3.640661014,10,7
NO,50.2401777,13.81195456,7.572786054,2.62826252,2.181954006,0.674823715,261.9392241,73.44366705,3.629368424,-0.001428048,4.640058994,0.001461791,4.886619568,17.59351522,15.9200483,3.315048943,1.609387994,2,85.3055191,31.61642413,630.6746216,34.2097168,21.77981758,-0.811772209,3.733101591,10,8
